The Way To Read This is A      A      A      A    -> B
                        B      B      B      B    -> C
this means that the 4 data descriptors are from the previous hands and are used to imply the C and does not include the C in their tallies

STREAK COUNT BANK LAST10 BANK LAST20 BANK LAST30       LABEL
           0           0           0           0           0
           1         0.5         0.5         0.5           1
           1    0.333333    0.333333    0.333333           0
           1         0.5         0.5         0.5           0
           2         0.6         0.6         0.6           0
           3    0.666667    0.666667    0.666667           1
           1    0.571429    0.571429    0.571429           1
           2         0.5         0.5         0.5           1
           3    0.444444    0.444444    0.444444           1
           4         0.4         0.4         0.4           0
           1         0.5    0.454545    0.454545           0
           2         0.5         0.5         0.5           0
           3         0.6    0.538462    0.538462           0
           4         0.6    0.571429    0.571429           0
           5         0.6         0.6         0.6           1
           1         0.5      0.5625      0.5625           0
           1         0.6    0.588235    0.588235           0
           2         0.7    0.611111    0.611111           1
           1         0.7    0.578947    0.578947           1
           2         0.7        0.55        0.55           1
           3         0.6        0.55     0.52381           0
           1         0.6        0.55    0.545455           0
           2         0.6         0.6    0.565217           1
           1         0.5        0.55    0.541667           0
           1         0.5        0.55        0.56           0
           2         0.6        0.55    0.576923           1
           1         0.5        0.55    0.555556           1
           2         0.4        0.55    0.535714           1
           3         0.4        0.55    0.517241           2
           1         0.4        0.55         0.5           1
           1         0.4         0.5         0.5           2
           1         0.3        0.45    0.466667           0
           1         0.3        0.45         0.5           0
           2         0.4        0.45         0.5           1
           1         0.3         0.4    0.466667           1
           2         0.2         0.4    0.433333           0
           1         0.3         0.4    0.466667           0
           2         0.4         0.4         0.5           0
           3         0.5        0.45    0.533333           0
           4         0.6         0.5    0.566667           0
           5         0.7        0.55    0.566667           1
           1         0.7         0.5    0.533333           0
           1         0.7         0.5    0.533333           1
           1         0.6         0.5         0.5           0
           1         0.7         0.5         0.5           0
           2         0.8         0.5    0.533333           1
           1         0.7         0.5         0.5           0
           1         0.7        0.55         0.5           1
           1         0.6        0.55         0.5           1
           2         0.5        0.55         0.5           0
           1         0.5         0.6    0.533333           1
           1         0.5         0.6         0.5           1
           2         0.4        0.55    0.466667           1
           3         0.4         0.5    0.466667           0
           1         0.4        0.55    0.466667           0
           2         0.4         0.6    0.466667           0
           3         0.5         0.6         0.5           0
           4         0.5         0.6    0.533333           0
           5         0.6         0.6    0.566667           2
           1         0.6        0.55    0.566667           1
           1         0.5         0.5    0.566667           1
The Way To Read This is A      A      A      A    -> B
                        B      B      B      B    -> C
